,Unnamed: 0,id,City,Address,lat,lon,Zipcode,average_rate_per_night,bedrooms_count,city,date_of_listing,description,latitude,longitude,title,url
0,1,4,Bryan,"775, Inwood Drive, Bryan, Brazos County, Texas, 77802, USA",30.63730428,-96.33784597,77802,$60 ,1,Bryan,2/1/2016,Private bedroom in a cute little home situated in the coveted Garden Acres neighborhood in Bryan. The bedroom has its own private access and its own private bathroom.,30.63730428,-96.33784597,Private Room Close to Campus,https://www.airbnb.com/rooms/11839729?location=College%20Station%2C%20TX
1,2,6,Conroe,"9163, Red Stag, Montgomery County, Texas, 77303, USA",30.370455199999995,-95.38531904,77303,$250 ,4,Conroe,8/1/2016,"My place is close to Lake Conroe, family-friendly activities, nightlife. You’ll love my place because of the outdoors space and the neighborhood. My place is good for couples, solo adventurers, business travelers, families (with kids), and big groups.",30.370455199999995,-95.38531904,Gorgeous Home with Country Setting,https://www.airbnb.com/rooms/14466133?location=Cleveland%2C%20TX
2,3,8,Fort Worth,"4974, Glen Eden Drive, Fort Worth, Tarrant County, Texas, 76115, USA",32.68961141,-97.29816086,76115,$25 ,1,Fort Worth,1/1/2016,"This is a beautiful bedroom with a queen size bed and closet. We do not have pets and the house is always clean. The bathroom is shared and supplies such as towels and shampoo are available. We are only some miles from Downtown, TCU, TCC, and Stockyards.",32.68961141,-97.29816086,Friendly Private Room in َQuiet Neighborhood,https://www.airbnb.com/rooms/18977363?location=Cleburne%2C%20TX
3,4,9,Rockport,"North Fulton Beach Road, Copano Village, Aransas County, Texas, 78358, USA",28.10372572,-97.02583209,78358,$345 ,3,Rockport,2/1/2016,First class and comfortable condo with the bests views from bottom deck and master bedroom patio.\r\nPier is just a few steps away from your patio.,28.10372572,-97.02583209,608 - Bayfront Condos,https://www.airbnb.com/rooms/17559848?location=Bayside%2C%20TX
4,5,11,Irving,"3841, Cheyenne Street, Irving, Dallas County, Texas, 75038, USA",32.86211601,-97.00264291,75038,$65 ,1,Irving,7/1/2015,My cool and comfortable bedroom apartment feels like home. It comfortably fits 2 people and centrally located on a quiet street. Enjoy a gourmet kitchen and easy access to all major highways.,32.86211601,-97.00264291,Cozy 1 bedroom/bathroom with pool,https://www.airbnb.com/rooms/7276294?location=Colleyville%2C%20TX
5,7,15,Kerrville,"699, Methodist Encampment Road, Kerrville, Kerr County, Texas, 78028, USA",30.07366703,-99.16136522,78028,$175 ,2,Kerrville,8/1/2016,"My place is close to downtown Kerrville. Beautiful pine ceilings and cozy fireplace. Cottage appeal in a unique and eclectic Kerrville neighborhood!\nComes with screened porch and huge backyard. Washer dryer available also for guest's convenience. Great place to use as a home base for exploring Texas wine country nearby. I have a covered carport with 2 parking spaces included in the rental price-which is great to have if we get rain or bad weather, your car is protexted.",30.07366703,-99.16136522,"Cozy cottage charm,right in Kerrville!",https://www.airbnb.com/rooms/14694333?location=Center%20Point%2C%20TX
6,8,17,Austin,"F T and Belle Ramsey House, Avenue B, Hyde Park, Austin, Travis County, Texas, 78751, USA",30.309521999999998,-97.73171047,78751,$82 ,2,Austin,12/1/2015,"Cute two bedroom with lots of windows, sunny back deck, front porch in friendly neighborhood (Hyde Park, Austin) near UT and downtown. Easy walk to coffee shops and restaurants!",30.309521999999998,-97.73171047,Cosy 2 Bedroom in Hyde Park!,https://www.airbnb.com/rooms/18550276?location=Cedar%20Park%2C%20TX
7,9,18,Port Aransas,"800, Sandcastle Drive, Port Aransas, Aransas County, Texas, 78373, USA",27.81717552,-97.06809015,78373,$275 ,1,Port Aransas,2/1/2017,"My place is close to the beach, restaurants and dining, family-friendly activities, and great views. My place is good for couples, solo adventurers, and business travelers.",27.81717552,-97.06809015,Ocean Getaway with Magnificent Views,https://www.airbnb.com/rooms/17402254?location=Corpus%20Christi%2C%20TX
8,10,19,Houston,"13009, Sweetgum Shores Drive, Harmaston, Harris County, Texas, 77044, USA",29.95468009,-95.17607029,77044,"$1,500 ",4,Houston,1/1/2017,4 bedroom 2 bathroom home with an open floor plan great for entertaining located in a quiet neighborhood and conveniently located to 59 and beltway 8.,29.95468009,-95.17607029,Super Bowl 2017 4 BDRM Home Retreat,https://www.airbnb.com/rooms/16964526?location=Channelview%2C%20TX
9,11,20,Frisco,"12363, Redbud Lane, Denton County, Texas, 75034, USA",33.15577622,-96.9304385,75034,$250 ,2,Frisco,12/1/2014,"This unique lakefront area is perfect for creating wonderful memories with your friends and family. It is located right outside the City of Frisco, so it is less than 5 minutes to any shopping and entertainment, yet it is a cozy relaxed atmosphere.",33.15577622,-96.9304385,Lake Lewisville Lakefront Convenient to Frisco,https://www.airbnb.com/rooms/4785810?location=Corinth%2C%20TX
