,id,City,Address,lat,lon,Zipcode
1,4,Bryan,"775, Inwood Drive, Bryan, Brazos County, Texas, 77802, USA",30.63730428,-96.33784597,77802
2,6,Conroe,"9163, Red Stag, Montgomery County, Texas, 77303, USA",30.3704552,-95.38531904,77303
3,8,Fort Worth,"4974, Glen Eden Drive, Fort Worth, Tarrant County, Texas, 76115, USA",32.68961141,-97.29816086,76115
4,9,Rockport,"North Fulton Beach Road, Copano Village, Aransas County, Texas, 78358, USA",28.10372572,-97.02583209,78358
5,11,Irving,"3841, Cheyenne Street, Irving, Dallas County, Texas, 75038, USA",32.86211601,-97.00264291,75038
7,15,Kerrville,"699, Methodist Encampment Road, Kerrville, Kerr County, Texas, 78028, USA",30.07366703,-99.16136522,78028
8,17,Austin,"F T and Belle Ramsey House, Avenue B, Hyde Park, Austin, Travis County, Texas, 78751, USA",30.309522,-97.73171047,78751
9,18,Port Aransas,"800, Sandcastle Drive, Port Aransas, Aransas County, Texas, 78373, USA",27.81717552,-97.06809015,78373
10,19,Houston,"13009, Sweetgum Shores Drive, Harmaston, Harris County, Texas, 77044, USA",29.95468009,-95.17607029,77044
11,20,Frisco,"12363, Redbud Lane, Denton County, Texas, 75034, USA",33.15577622,-96.9304385,75034
12,24,Katy,"James and Sharon Tays Junior High, 26721, Hawks Prairie Boulevard, Silver Ranch, Fort Bend County, Texas, 77494, USA",29.74070352,-95.82587851,77494
13,25,Denton,"Nirvana Smoke Shop, 215, North Carroll Boulevard, Denton, Denton County, Texas, 76201, USA",33.21614026,-97.13775675,76201
14,27,Richmond,"17498, Aspen Ridge Court, Twin Oaks Village, Fort Bend County, Texas, 77407, USA",29.69552664,-95.69011086,77407
15,29,Austin,"2414, Kinney Road, Zilker, Austin, Travis County, Texas, 78704, USA",30.24429616,-97.77446858,78704
16,31,Plano,"7951, Whispering Tree Lane, Plano, Collin County, Texas, 75024, USA",33.08495329,-96.78346949,75024
17,32,Houston,"984, Villa de Matel Road, Houston, Harris County, Texas, 77023, USA",29.729391,-95.31251441,77023
18,33,Arlington,"2244, Mediterranean Avenue, Arlington, Tarrant County, Texas, 76011, USA",32.77038954,-97.09001198,76011
19,34,Austin,"2100, Rockmoor Avenue, The Doke, Austin, Travis County, Texas, 78703, USA",30.30038194,-97.77885789,78703
21,36,Houston,"21733, Rio Villa Drive, Highlands, Harris County, Texas, 77049, USA",29.82627834,-95.07823934,77049
22,37,Spicewood,"3721, Outback Trail, Travis County, Texas, 78669, USA",30.3877095,-98.09081262,78669
23,38,Austin,"1603, Poquito Street, East Austin, Austin, Travis County, Texas, 78702, USA",30.27752338,-97.71919076,78702
24,39,Fort Worth,"Wedgewood Nursing Home, 6621, Dan Danciger Road, Fort Worth, Tarrant County, Texas, 76133, USA",32.64994648,-97.4059862,76133
25,40,Dallas,"Penuel Seventh Day Adventist Church, Bernal Drive, Dallas, Dallas County, Texas, 75212, USA",32.78663646,-96.87466869,75212
26,41,Killeen,"4475, Menard Drive, Killeen, Bell County, Texas, 76549, USA",31.08831396,-97.77755412,76549
27,42,New Braunfels,"448, Napoleon Street, New Braunfels, Comal County, Texas, 78130, USA",29.70471393,-98.12010313,78130
28,43,Abilene,"South Leggett Drive, Abilene, Taylor County, Texas, 79605, USA",32.43616081,-99.77400979,79605
29,44,Houston,"6994, Marisol Drive, Harris County, Texas, 77083, USA",29.70389701,-95.66395341,77083
30,45,Abilene,"1351, Squires Road, Abilene, Taylor County, Texas, 79602, USA",32.43781002,-99.69983992,79602
31,46,Austin,"14511, Deaf Smith Boulevard, Chaparral Crossing, Hornsby Bend, Travis County, Texas, 78725, USA",30.23294081,-97.58937812,78725
32,47,Fort Worth,"1012, Garvey Street, Fort Worth, Tarrant County, Texas, 76102, USA",32.76650721,-97.32873671,76102
33,48,Marble Falls,"WorldMark Marble Falls, Rocky Road, Marble Falls, Burnet County, Texas, 76654, USA",30.55111868,-98.28646131,76654
34,49,Pasadena,"4381, Winterborne Drive, Village Grove, Pasadena, Harris County, Texas, 77505, USA",29.64732251,-95.13905355,77505
35,50,College Station,"887, Marion Pugh Drive, Callaway Villas, College Station, Brazos County, Texas, 77840, USA",30.5976927,-96.33721105,77840
36,51,San Antonio,"Connally Loop, San Antonio, Bexar County, Texas, 78217, USA",29.51605277,-98.43504461,78217
37,52,Allen,"412, Irvine Drive, Watters Creek, Allen, Collin County, Texas, 75013, USA",33.09533497,-96.70009475,75013
38,53,Bandera,"415, 1st Street, Bandera, Bandera County, Texas, 78003, USA",29.717039,-99.08212066,78003
39,54,Humble,"7698, Desco Drive, Bordersville, Harris County, Texas, 77338, USA",30.01937977,-95.30818795,77338
40,55,San Antonio,"Adobe Long House, East César E. Chávez Boulevard, Lavaca, San Antonio, Bexar County, Texas, 78206, USA",29.41542956,-98.48159614,78206
41,56,Humble,"Pearson Carpet Care, 525, North Houston Avenue, Humble, Harris County, Texas, 77338, USA",30.00094259,-95.25816793,77338
42,57,Fort Worth,"Amaranth Drive, Fort Worth, Tarrant County, Texas, 76428, USA",32.91753279,-97.33690001,76428
43,58,Katy,"2733, Sable Ridge Lane, Parkway Oaks, Cinco Ranch, Fort Bend County, Texas, 77494, USA",29.75028228,-95.79191395,77494
44,59,Irving,"Irving, Dallas County, Texas, 75039, USA",32.88088953,-96.94281767,75039
45,61,Katy,"25546, Saddlebrook Way, Cinco Ranch, Fort Bend County, Texas, 77494, USA",29.75547877,-95.78899633,77494
46,62,League City,"846, Davis Road, League City, Galveston County, Texas, 77573, USA",29.53971075,-95.07518536,77573
47,66,Conroe,"754, Stonewall Jackson Drive, River Plantation, Montgomery County, Texas, 77302, USA",30.2447258,-95.4382271,77302
48,67,San Antonio,"4336, Dauphine Drive, San Antonio, Bexar County, Texas, 78218, USA",29.48241384,-98.41001528,78218
49,69,Concan,"Mountain Valley Road, Third Crossing, Uvalde County, Texas, 78838, USA",29.53213067,-99.69302161,78838
50,71,Austin,"507, West Alpine Road, Dawson, Austin, Travis County, Texas, 78704, USA",30.23038507,-97.76581095,78704
51,72,San Antonio,"8783, Tesoro Drive, San Antonio, Bexar County, Texas, 78217, USA",29.52007905,-98.45505578,78217
52,75,Spring,"23206, Hill Creek Road, Harris County, Texas, 77373, USA",30.05041737,-95.34459326,77373
53,79,College Station,"2977, Normand Drive, Southwood Valley, College Station, Brazos County, Texas, 77845, USA",30.58726186,-96.29515158,77845
54,81,College Station,"2385, Colgate Circle, Castle Rock Apartments, College Station, Brazos County, Texas, 77840, USA",30.6133901,-96.30687282,77840
55,82,Plano,"6899, Abernathy Street, Plano, Collin County, Texas, 75074, USA",33.067471,-96.6636928,75074
56,83,Fort Worth,"5525, Eastwedge Drive, Fort Worth, Tarrant County, Texas, 76137, USA",32.88156439,-97.2658547,76137
57,85,Austin,"6711, Modesto Street, Abercrombie, Austin, Travis County, Texas, 78757, USA",30.34285933,-97.73598704,78757
58,86,Houston,"1428, Trailwood Village Drive, Houston, Harris County, Texas, 77339, USA",30.03683572,-95.22608777,77339
59,87,San Antonio,"Camino Haven, The Enclave At Stonehaven, Bexar County, Texas, 78255, USA",29.70627939,-98.63299228,78255
60,88,Irving,"3809, Flintridge Drive, Irving, Dallas County, Texas, 75038, USA",32.86410161,-96.99892108,75038
61,89,Katy,"23367, Leaf Ridge Drive, Cinco Ranch, Fort Bend County, Texas, 77494, USA",29.75443391,-95.77315946,77494
62,90,New Braunfels,"North Guenther Avenue, New Braunfels, Comal County, Texas, 78130, USA",29.70090884,-98.131561,78130
63,91,Buchanan Dam,"98, Trinidad Street, Buchanan Dam, Llano County, Texas, 78609, USA",30.75022481,-98.41572007,78609
64,92,Humble,"9498, Greencape Court, Dyersdale, Harris County, Texas, 77396, USA",29.92953838,-95.25096238,77396
65,93,Baytown,"1908, North Main Street, Baytown, Harris County, Texas, 77520, USA",29.74584661,-94.96355953,77520
66,95,Irving,"1955, Cloverleaf Lane, Irving, Dallas County, Texas, 75061, USA",32.83240526,-96.98926843,75061
67,96,Bryan,"3669, Forestwood Drive, Saddlewood Apartments, Bryan, Brazos County, Texas, 77801, USA",30.6301763,-96.36748443,77801
