City,Avg_Rate_Float
Abilene,168.47619047619048
Addison,75.5
Aledo,79.0
Allen,126.625
Alpine,101.28571428571429
Alvin,47.0
Amarillo,116.92
Anahuac,139.75
Angleton,500.0
Anna,22.0
Anson,70.0
Aransas Pass,172.83333333333334
Argyle,262.25
Arlington,112.28915662650603
Art,225.0
Atascocita,272.5
Athens,150.0
Aubrey,95.0
Austin,131.91836734693877
Azle,143.25
Bacliff,302.2857142857143
Baird,190.0
Balch Springs,36.333333333333336
Bandera,146.52173913043478
Bastrop,193.03846153846155
Bastrop County,100.0
Bay City,50.0
Bayside,125.0
Baytown,142.30434782608697
Beaumont,51.125
Bedford,69.66666666666667
Bee Cave,205.0
Bellaire,170.33333333333334
Bellville,140.0
Belton,212.5
Ben Wheeler,135.0
Benbrook,62.5
Berryville,325.0
Blanco,108.33333333333333
Bleiblerville,1.0
Blue Mound,37.0
Boerne,164.4
Bolivar,325.0
Bolivar Peninsula,375.61538461538464
Boliver peninsula,500.0
Brazoria,301.75
Brenham,185.5
Briarcliff,75.0
Bridge City,60.0
Bridgeport,462.0
Brookshire,550.0
Brownsville,135.8
Brownwood,150.0
Bryan,217.10344827586206
Buchanan Dam,364.1666666666667
Buda,109.25
Buffalo Gap,80.0
Bulverde,292.6
Burleson,107.5
Burnet,296.2857142857143
CRYSTAL BEACH,475.0
Canton,244.66666666666666
Canyon,147.71428571428572
Canyon Lake,329.45454545454544
Carrollton,72.71428571428571
Cat Spring,350.0
Cedar Creek,122.33333333333333
Cedar Park,99.0
Celina,347.5
Chandler,125.0
Channelview,250.0
Cibolo,123.5
City by the Sea,553.0
Clear Lake Shores,133.5
Cleburne,50.0
Clifton,195.0
College Station,220.79245283018867
Colleyville,337.5
Columbus,200.0
Comfort,152.5
Concan,386.5
Conroe,245.11111111111111
Converse,20.5
Copper Canyon,1.0
Corinth,127.5
Corpus Christi,234.4671052631579
Crawford,129.0
Crystal Beach,346.9130434782609
Dale,300.0
Dallas,105.71527777777777
Damon,300.0
Dayton,73.5
DeSoto,30.0
Deer Park,73.5
Del Valle,119.75
Denton,59.5
Dickinson,1.3333333333333333
Dripping Springs,190.5
Duncanville,45.0
Early,130.0
East Bernard,132.5
Eddy,69.0
El Lago,157.5
