,Total_Listings_in_City
Houston,414
Dallas,288
Austin,245
San Antonio,199
Fort Worth,181
Corpus Christi,152
Galveston,87
McKinney,86
Arlington,83
Denton,70
Rockport,60
College Station,53
League City,43
Plano,40
Richmond,39
Katy,34
Irving,32
Horseshoe Bay,31
Sugar Land,30
South Padre Island,29
Kemah,29
Bryan,29
Euless,28
Port Aransas,27
Bastrop,26
Seabrook,26
Amarillo,25
Allen,24
Crystal Beach,23
Baytown,23
Bandera,23
Lago Vista,22
Abilene,21
Temple,20
Spicewood,18
San Leon,18
Killeen,17
Marble Falls,17
Humble,17
Grapevine,17
Kingsland,16
Frisco,15
Alpine,14
La Porte,13
Bolivar Peninsula,13
New Braunfels,13
Kyle,11
Canyon Lake,11
Lakeway,10
Belton,10
Llano,10
Little Elm,10
Surfside Beach,10
Conroe,9
Manor,9
Aubrey,9
Canton,9
Elgin,9
Harker Heights,9
Buda,8
Beaumont,8
Canyon,7
Bacliff,7
Carrollton,7
Hurst,7
Burnet,7
Flower Mound,7
Spring,6
Pasadena,6
Wimberley,6
Fredericksburg,6
Bedford,6
Bellaire,6
Buchanan Dam,6
Freeport,6
Cedar Creek,6
Aransas Pass,6
Mason,6
Weatherford,6
Pflugerville,6
Roanoke,5
Leander,5
Grand Prairie,5
Bulverde,5
Round Rock,5
Highlands,5
Brownsville,5
Alvin,5
Fulton,5
Jamaica Beach,5
Mabank,5
Boerne,5
Del Valle,4
Anahuac,4
Quitman,4
Brenham,4
Brazoria,4
Corinth,4
Rosenberg,4
Argyle,4
Tool,4
Smithville,4
Clear Lake Shores,4
Azle,4
Addison,4
Dickinson,3
Lumberton,3
Balch Springs,3
Manchaca,3
Sweeny,3
Blanco,3
Sargent,3
Point Venture,3
Mineola,3
Port Isabel,3
Haslet,3
Malakoff,3
Garfield,3
Grand Saline,3
Justin,3
Paige,3
Travis County,3
Flint,3
Brookshire,3
Eustace,3
Pilot Point,3
Frankston,3
The Hills,2
Burleson,2
Atascocita,2
River Oaks,2
LaRue,2
CRYSTAL BEACH,2
Hutto,2
Copper Canyon,2
Aledo,2
Ben Wheeler,2
Navasota,2
Waco,2
Granbury,2
Deer Park,2
East Bernard,2
Kingsville,2
Baird,2
Converse,2
Dayton,2
El Lago,2
The Woodlands,2
Salado,2
Kerrville,2
Matagorda,2
Cibolo,2
Sanger,2
Concan,2
Dripping Springs,2
Helotes,2
Pipe Creek,2
La Marque,2
Prosper,2
Haltom City,2
New Ulm,2
Comfort,2
Bay City,2
Colleyville,2
Krum,2
Texas City,2
Lewisville,2
Sealy,2
Rogers,2
Benbrook,2
Celina,2
White Settlement,2
Bee Cave,2
Sugarland,2
Fayetteville,1
Red Oak,1
Terlingua,1
DeSoto,1
keller,1
Dale,1
Sunset Valley,1
Lake Jackson,1
Eddy,1
University Park,1
Westworth Village,1
Bastrop County,1
Art,1
Gun Barrel City,1
Highland Village,1
Channelview,1
Silsbee,1
Damon,1
Emory,1
Waelder,1
Leonard,1
Bleiblerville,1
Angleton,1
Chandler,1
Anson,1
Rosanky,1
Rancho Viejo,1
Bridge City,1
Friendswood,1
Cleburne,1
Tiki Island,1
Happy,1
Laguna Vista,1
Athens,1
Anna,1
Watauga,1
Garden Valley,1
Bridgeport,1
Briarcliff,1
Shoreacres,1
Pearland,1
Buffalo Gap,1
Princeton,1
Clifton,1
houston,1
Volente,1
fort worth,1
Montgomery,1
Southlake,1
Winnie,1
Willow Park,1
Liberty Hill,1
Cedar Park,1
Georgetown,1
Trophy Club,1
Gilchrist,1
Melissa,1
Universal City,1
Duncanville,1
Berryville,1
Shady Shores,1
Blue Mound,1
Nolanville,1
Bayside,1
Hempstead,1
Richardson,1
Boliver peninsula,1
North Richland Hills,1
Junction,1
Gordon,1
Nederland,1
West Lake Hills,1
Schertz,1
Wharton,1
Yantis,1
City by the Sea,1
Plainview,1
Stephenville,1
Port Neches,1
Early,1
Lucas,1
Columbus,1
Nacogdoches,1
Lake Dallas,1
Glenn Heights,1
Brownwood,1
Fairfield,1
Hickory Creek,1
Ingram,1
Bellville,1
Tow,1
Bolivar,1
Crawford,1
Cat Spring,1
Saginaw,1
