date_of_listing,Total_Listings_in_Month_Austin
1/1/2012,5
1/1/2013,3
1/1/2014,2
1/1/2015,3
1/1/2016,5
1/1/2017,5
10/1/2010,1
10/1/2011,2
10/1/2012,2
10/1/2013,4
10/1/2014,5
10/1/2015,5
10/1/2016,1
11/1/2011,1
11/1/2012,1
11/1/2013,4
11/1/2014,1
11/1/2015,1
11/1/2016,1
12/1/2012,1
12/1/2014,2
12/1/2015,5
12/1/2016,4
2/1/2011,3
2/1/2012,4
2/1/2013,5
2/1/2014,5
2/1/2015,3
2/1/2016,3
2/1/2017,4
3/1/2011,4
3/1/2012,1
3/1/2013,1
3/1/2014,7
3/1/2015,9
3/1/2016,3
3/1/2017,9
4/1/2009,1
4/1/2014,2
4/1/2016,7
4/1/2017,6
5/1/2011,1
5/1/2012,1
5/1/2013,2
5/1/2014,6
5/1/2015,6
5/1/2016,5
5/1/2017,3
6/1/2010,1
6/1/2012,1
6/1/2013,3
6/1/2014,3
6/1/2015,1
6/1/2016,7
6/1/2017,1
7/1/2010,1
7/1/2011,2
7/1/2013,5
7/1/2014,3
7/1/2015,1
7/1/2016,3
8/1/2010,1
8/1/2011,3
8/1/2012,3
8/1/2013,1
8/1/2014,6
8/1/2015,5
8/1/2016,5
9/1/2011,2
9/1/2012,1
9/1/2013,4
9/1/2014,3
9/1/2015,4
9/1/2016,10
