date_of_listing,Total_Listings_in_Month_Dallas
1/1/2014,1
1/1/2015,9
1/1/2016,5
1/1/2017,4
10/1/2011,1
10/1/2012,1
10/1/2013,3
10/1/2014,2
10/1/2015,14
10/1/2016,5
11/1/2013,6
11/1/2014,3
11/1/2015,2
11/1/2016,4
12/1/2012,2
12/1/2013,10
12/1/2014,1
12/1/2015,3
12/1/2016,2
2/1/2012,1
2/1/2013,2
2/1/2014,3
2/1/2015,4
2/1/2016,9
2/1/2017,4
3/1/2009,1
3/1/2012,4
3/1/2013,1
3/1/2014,2
3/1/2015,8
3/1/2016,6
3/1/2017,2
4/1/2012,1
4/1/2013,4
4/1/2014,4
4/1/2015,11
4/1/2016,9
4/1/2017,9
5/1/2009,1
5/1/2011,2
5/1/2012,4
5/1/2013,5
5/1/2014,7
5/1/2016,7
5/1/2017,7
6/1/2011,1
6/1/2012,4
6/1/2013,2
6/1/2014,3
6/1/2015,2
6/1/2016,10
6/1/2017,3
7/1/2011,3
7/1/2013,2
7/1/2014,5
7/1/2015,6
7/1/2016,3
8/1/2010,1
8/1/2012,3
8/1/2013,1
8/1/2014,9
8/1/2015,7
8/1/2016,3
9/1/2013,1
9/1/2014,5
9/1/2015,12
9/1/2016,6
