date_of_listing,Total_Listings_in_Month_Fort_Worth
1/1/2012,1
1/1/2013,2
1/1/2014,2
1/1/2015,5
1/1/2016,8
1/1/2017,2
10/1/2011,1
10/1/2012,5
10/1/2014,4
10/1/2015,3
10/1/2016,6
11/1/2014,3
11/1/2015,5
11/1/2016,4
12/1/2013,2
12/1/2014,2
12/1/2015,9
2/1/2014,1
2/1/2015,4
2/1/2016,5
2/1/2017,1
3/1/2012,1
3/1/2014,2
3/1/2015,4
3/1/2016,11
3/1/2017,3
4/1/2013,2
4/1/2014,2
4/1/2015,1
4/1/2016,4
4/1/2017,5
5/1/2011,1
5/1/2013,1
5/1/2014,1
5/1/2015,3
5/1/2016,3
5/1/2017,4
6/1/2010,2
6/1/2014,3
6/1/2015,6
6/1/2016,6
6/1/2017,6
7/1/2010,1
7/1/2012,4
7/1/2014,1
7/1/2015,8
8/1/2013,2
8/1/2014,4
8/1/2015,1
8/1/2016,1
9/1/2011,1
9/1/2012,2
9/1/2015,7
9/1/2016,3
